# ---------------------------------- Disclaimer -----------------------------------------
# The reservoir data contained in this file are best estimates generated by the Texas    
# Water Development Board(TWDB) using data collected by various data providers as well   
# as by TWDB. For a detailed explaination of the methodology used please visit:          
#                                                                                        
#     http://waterdatafortexas.org/reservoirs/methodology                                
#                                                                                        
# TWDB makes no warranties(including no warranties as to merchantability or fitness)     
# either expressed or implied with respect to the data or its fitness for any specific   
# application.                                                                           
# ---------------------------------------------------------------------------------------
# 
# Definitions:
#     reservoir_storage = actual storage at measured lake elevation
#     dead_pool_capacity = storage at dead pool elevation
#     conservation_capacity = storage at conservation pool elevation - dead pool capacity
#     conservation_storage = reservoir storage - dead pool capacity (note: conservation storage is capped at conservation capacity)
#     percent_full = 100 * conservation storage/conservation capacity
# 
#     for more detailed explanations see http://waterdatafortexas.org/reservoirs/glossary
# 
# Estimated daily average data for Austin Area
#     generated: 2018-09-24T16:00:46.168145 UTC
#     url: https://waterdatafortexas.org/reservoirs/municipal/austin-30day.csv
# 
# Units:
#     date: YYYY-MM-DD
#     storages: acre-feet
# 
date,reservoir_storage,conservation_storage,percent_full,conservation_capacity
2018-08-25,1593147,1556202,70.9,2194846
2018-08-26,1588993,1552048,70.7,2194846
2018-08-27,1584936,1547991,70.5,2194846
2018-08-28,1581343,1544398,70.4,2194846
2018-08-29,1577110,1540165,70.2,2194846
2018-08-30,1572900,1535956,70.0,2194846
2018-08-31,1570038,1533093,69.8,2194846
2018-09-01,1565841,1528896,69.7,2194846
2018-09-02,1562439,1525494,69.5,2194846
2018-09-03,1559574,1522630,69.4,2194846
2018-09-04,1558990,1522046,69.3,2194846
2018-09-05,1558885,1521941,69.3,2194846
2018-09-06,1560995,1524051,69.4,2194846
2018-09-07,1560993,1524048,69.4,2194846
2018-09-08,1564451,1527506,69.6,2194846
2018-09-09,1568998,1532054,69.8,2194846
2018-09-10,1581298,1544354,70.4,2194846
2018-09-11,1591882,1554937,70.8,2194846
2018-09-12,1597930,1560986,71.1,2194846
2018-09-13,1599951,1563006,71.2,2194846
2018-09-14,1602290,1565345,71.3,2194846
2018-09-15,1608735,1571791,71.6,2194846
2018-09-16,1612165,1575221,71.8,2194846
2018-09-17,1614741,1577797,71.9,2194846
2018-09-18,1617596,1580652,72.0,2194846
2018-09-19,1619181,1582237,72.1,2194846
2018-09-20,1620944,1584000,72.2,2194846
2018-09-21,1624699,1587754,72.3,2194846
2018-09-22,1639176,1602231,73.0,2194846
2018-09-23,1647084,1610139,73.4,2194846
2018-09-24,1654535,1617591,73.7,2194846
