,,,,,,
date,reservoir_storage,conservation_storage,percent_full,conservation_capacity,,
2017-09-24,30676386,26157328,83.2,31440033,,
2017-09-25,30614275,26126815,83.1,31440033,,
2017-09-26,30584979,26121214,83.1,31440033,,
2017-09-27,30665762,26209212,83.4,31440033,,
2017-09-28,30773860,26317707,83.7,31440033,,
2017-09-29,30891991,26426273,84.1,31440033,,
2017-09-30,31000022,26517598,84.3,31440033,,
2017-10-01,31085790,26383382,84,31412830,,
2017-10-02,31138239,26400699,84,31412830,,
2017-10-03,31194234,26432596,84.1,31412830,,
2017-10-04,31292137,26501309,84.4,31412830,,
2017-10-05,31320440,26430901,84.4,31316403,,
2017-10-06,31328677,26439546,84.4,31316403,,
2017-10-07,31337272,26446446,84.4,31316403,,
2017-10-08,31344984,26362808,84.2,31316403,,
2017-10-09,31353810,26364265,84.2,31316403,,
2017-10-10,31256774,26302725,84,31316403,,
2017-10-11,31386157,26365156,84.2,31316403,,
2017-10-12,31347432,26333448,84.1,31316403,,
2017-10-13,31321243,26316935,84,31316403,,
2017-10-14,31295787,26303503,84,31316403,,
2017-10-15,31306432,26294030,84,31316403,,
2017-10-16,31253886,26263437,83.9,31316403,,
2017-10-17,31185746,26217083,83.7,31316403,,
2017-10-18,31138463,26184151,83.6,31316403,,
2017-10-19,31109493,26162836,83.5,31316403,,
2017-10-20,31075786,26136053,83.5,31316403,,
2017-10-21,31054635,26119910,83.4,31316403,,
2017-10-22,31143702,26184904,83.6,31316403,,
2017-10-23,31137863,26180570,83.6,31316403,,
2017-10-24,31156843,26188959,83.6,31316403,,
2017-10-25,31066772,26127446,83.4,31316403,,
2017-10-26,30999883,26073643,83.3,31316403,,
2017-10-27,31049985,26098986,83.3,31316403,,
2017-10-28,31010891,26064846,83.2,31316403,,
2017-10-29,30926808,25976560,82.9,31316403,,
2017-10-30,30888473,25945075,82.8,31316403,,
2017-10-31,30880621,25938586,82.8,31316403,,
2017-11-01,30886948,25930388,82.7,31347630,,
2017-11-02,30890973,25929832,82.7,31347630,,
2017-11-03,30896749,25934422,82.7,31347630,,
2017-11-04,30881579,25927887,82.7,31347630,,
2017-11-05,30862606,25908855,82.7,31347630,,
2017-11-06,30853756,25906426,82.6,31347630,,
2017-11-07,30857412,25910094,82.7,31347630,,
2017-11-08,30872667,25925863,82.7,31347630,,
2017-11-09,30865838,25924704,82.7,31347630,,
2017-11-10,30825604,25895273,82.6,31347630,,
2017-11-11,30797553,25871663,82.5,31347630,,
2017-11-12,30793920,25858381,82.5,31347630,,
2017-11-13,30789811,25854818,82.5,31347630,,
2017-11-14,30766729,25835591,82.4,31347630,,
2017-11-15,30761040,25829099,82.4,31347630,,
2017-11-16,30759486,25826323,82.4,31347630,,
2017-11-17,30725994,25800948,82.3,31347630,,
2017-11-18,30791124,25838219,82.4,31347630,,
2017-11-19,30745703,25799683,82.3,31347630,,
2017-11-20,30677073,25748184,82.1,31347630,,
2017-11-21,30658204,25729402,82.1,31347630,,
2017-11-22,30670719,25735112,82.1,31347630,,
2017-11-23,30620614,25694430,82,31347630,,
2017-11-24,30578375,25659711,81.9,31347630,,
2017-11-25,30575932,25653644,81.8,31347630,,
2017-11-26,30569633,25641342,81.8,31347630,,
2017-11-27,30537572,25615367,81.7,31347630,,
2017-11-28,30511782,25592694,81.6,31347630,,
2017-11-29,30520370,25593971,81.6,31347630,,
2017-11-30,30512017,25583192,81.6,31347630,,
2017-12-01,30490311,25564349,81.6,31347630,,
2017-12-02,30471202,25548484,81.5,31347630,,
2017-12-03,30451423,25527829,81.4,31347630,,
2017-12-04,30451499,25525024,81.4,31347630,,
2017-12-05,30523024,25570160,81.6,31347630,,
2017-12-06,30501248,25553636,81.5,31347630,,
2017-12-07,30520083,25566373,81.6,31347630,,
2017-12-08,30481177,25535981,81.5,31347630,,
2017-12-09,30452800,25511299,81.4,31347630,,
2017-12-10,30423587,25484865,81.3,31347630,,
2017-12-11,30400921,25465329,81.2,31347630,,
2017-12-12,30417275,25473102,81.3,31347630,,
2017-12-13,30360332,25429554,81.1,31347630,,
2017-12-14,30356694,25423476,81.1,31347630,,
2017-12-15,30347737,25414114,81.1,31347630,,
2017-12-16,30314758,25388963,81,31347630,,
2017-12-17,30398500,25452213,81.2,31347630,,
2017-12-18,30406280,25457861,81.2,31347630,,
2017-12-19,30450761,25501994,81.4,31347630,,
2017-12-20,30591012,25603371,81.7,31347630,,
2017-12-21,30628638,25640182,81.8,31347630,,
2017-12-22,30706043,25702601,82,31347630,,
2017-12-23,30792085,25767245,82.2,31347630,,
2017-12-24,30811195,25779386,82.2,31347630,,
2017-12-25,30814752,25769003,82.2,31347630,,
2017-12-26,30841402,25772233,82.2,31347630,,
2017-12-27,30860783,25786732,82.3,31347630,,
2017-12-28,30825519,25768671,82.2,31347630,,
2017-12-29,30793486,25751391,82.1,31347630,,
2017-12-30,30786321,25754231,82.2,31347630,,
2017-12-31,30804994,25778737,82.2,31347630,,
2018-01-01,30767245,25760878,82.2,31347630,,
2018-01-02,30706196,25736433,82.1,31347630,,
2018-01-03,30672660,25722834,82.1,31347630,,
2018-01-04,30632574,25705611,82,31347630,,
2018-01-05,30605973,25694725,82,31347630,,
2018-01-06,30606673,25688274,81.9,31347630,,
2018-01-07,30589146,25682479,81.9,31347630,,
2018-01-08,30659900,25716651,82,31347630,,
2018-01-09,30634971,25707511,82,31347630,,
2018-01-10,30617654,25696236,82,31347630,,
2018-01-11,30685817,25725418,82.1,31347630,,
2018-01-12,30724826,25739126,82.1,31347630,,
